Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Sex,JobLevel,JobRole,MaritalStatus,MonthlyIncome,Over18,OverTime,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
44,Travel_Rarely,Research & Development,10,4,Other,Male,2,Healthcare Representative,Married,6465,Y,Yes,9,5,4,2,1,3
30,Travel_Rarely,Research & Development,9,2,Medical,Male,1,Laboratory Technician,Single,2206,Y,No,10,5,10,0,1,8
39,Travel_Rarely,Sales,5,3,Technical Degree,Male,2,Sales Representative,Married,2086,Y,No,19,6,1,0,0,0
24,Travel_Rarely,Research & Development,1,3,Medical,Male,1,Research Scientist,Married,2293,Y,Yes,6,2,2,0,2,0
43,Travel_Rarely,Research & Development,2,2,Medical,Female,1,Research Scientist,Divorced,2645,Y,No,6,3,5,3,1,4
50,Travel_Rarely,Sales,3,2,Marketing,Male,1,Sales Representative,Married,2683,Y,Yes,3,2,3,2,0,2
35,Travel_Rarely,Sales,2,3,Marketing,Female,1,Sales Representative,Married,2014,Y,No,2,3,2,2,2,2
36,Travel_Rarely,Research & Development,5,4,Life Sciences,Female,1,Research Scientist,Married,3419,Y,Yes,6,3,1,1,0,0
33,Travel_Frequently,Sales,1,3,Life Sciences,Female,2,Sales Executive,Married,5376,Y,No,10,3,5,3,1,3
35,Travel_Rarely,Research & Development,4,2,Other,Male,1,Laboratory Technician,Divorced,1951,Y,No,1,3,1,0,0,0
27,Travel_Rarely,Research & Development,2,4,Life Sciences,Female,1,Laboratory Technician,Divorced,2341,Y,No,1,6,1,0,0,0
26,Travel_Rarely,Research & Development,25,3,Life Sciences,Male,1,Laboratory Technician,Single,2293,Y,No,1,2,1,0,0,1
27,Travel_Frequently,Sales,8,3,Life Sciences,Male,3,Sales Executive,Single,8726,Y,No,9,0,9,8,1,7
30,Travel_Frequently,Research & Development,1,2,Medical,Female,2,Laboratory Technician,Single,4011,Y,No,12,2,12,8,3,7
41,Travel_Rarely,Research & Development,12,3,Technical Degree,Female,5,Research Director,Married,19545,Y,No,23,0,22,15,15,8
34,Non-Travel,Sales,23,4,Marketing,Male,2,Sales Executive,Single,4568,Y,No,10,2,9,5,8,7
37,Travel_Rarely,Research & Development,19,2,Life Sciences,Male,1,Research Scientist,Married,3022,Y,No,8,1,1,0,0,0
46,Travel_Frequently,Sales,5,4,Marketing,Male,2,Sales Executive,Single,5772,Y,Yes,14,4,9,6,0,8
35,Travel_Rarely,Research & Development,8,1,Life Sciences,Male,1,Laboratory Technician,Married,2269,Y,No,1,2,1,0,0,1
48,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,3,Laboratory Technician,Single,5381,Y,Yes,23,2,1,0,0,0
28,Travel_Rarely,Research & Development,5,4,Technical Degree,Male,1,Laboratory Technician,Single,3441,Y,Yes,2,3,2,2,2,2
44,Travel_Rarely,Sales,1,5,Marketing,Female,2,Sales Executive,Divorced,5454,Y,Yes,9,2,4,3,1,3
35,Non-Travel,Research & Development,11,2,Medical,Male,3,Healthcare Representative,Married,9884,Y,Yes,10,3,4,0,2,3
26,Travel_Rarely,Sales,23,3,Marketing,Female,2,Sales Executive,Married,4157,Y,Yes,5,2,2,2,0,0
33,Travel_Frequently,Research & Development,1,2,Life Sciences,Female,3,Research Director,Single,13458,Y,Yes,15,1,15,14,8,12
35,Travel_Frequently,Sales,18,5,Life Sciences,Male,3,Sales Executive,Married,9069,Y,No,9,3,9,8,1,8
35,Travel_Rarely,Research & Development,23,4,Medical,Female,1,Laboratory Technician,Married,4014,Y,Yes,4,3,2,2,2,2
31,Travel_Rarely,Research & Development,7,4,Life Sciences,Male,2,Laboratory Technician,Divorced,5915,Y,No,10,3,7,7,1,7
37,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,2,Manufacturing Director,Divorced,5993,Y,No,7,2,7,5,0,7
32,Travel_Rarely,Research & Development,1,3,Medical,Male,2,Manufacturing Director,Married,6162,Y,Yes,9,3,9,8,7,8
38,Travel_Frequently,Research & Development,29,5,Life Sciences,Female,2,Laboratory Technician,Single,2406,Y,No,10,2,10,3,9,9
50,Travel_Rarely,Research & Development,7,2,Medical,Female,5,Research Director,Divorced,18740,Y,Yes,29,2,27,3,13,8
59,Travel_Rarely,Sales,25,3,Life Sciences,Female,3,Sales Executive,Single,7637,Y,No,28,3,21,16,7,9
36,Travel_Rarely,Research & Development,8,3,Technical Degree,Female,3,Healthcare Representative,Divorced,10096,Y,No,17,2,17,14,12,8
55,Travel_Rarely,Research & Development,8,3,Medical,Female,4,Manager,Divorced,14756,Y,Yes,21,2,5,0,0,2
36,Travel_Frequently,Research & Development,11,3,Life Sciences,Male,2,Manufacturing Director,Single,6499,Y,No,6,3,6,5,0,3
45,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,3,Research Scientist,Divorced,9724,Y,No,25,2,1,0,0,0
35,Travel_Frequently,Research & Development,1,3,Medical,Male,1,Research Scientist,Married,2194,Y,No,5,2,3,2,1,2
36,Travel_Rarely,Research & Development,9,3,Medical,Male,1,Research Scientist,Married,3388,Y,Yes,2,0,1,0,0,0
59,Travel_Frequently,Sales,1,1,Life Sciences,Female,2,Sales Executive,Single,5473,Y,No,20,2,4,3,1,3
29,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,1,Research Scientist,Married,2703,Y,No,6,3,5,4,0,4
31,Travel_Rarely,Research & Development,1,4,Medical,Male,1,Research Scientist,Single,2501,Y,No,1,4,1,1,1,0
32,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,2,Research Scientist,Married,6220,Y,No,10,3,10,4,0,9
36,Travel_Rarely,Research & Development,6,3,Life Sciences,Female,1,Laboratory Technician,Married,3038,Y,No,5,3,1,0,0,0
31,Travel_Rarely,Research & Development,8,4,Life Sciences,Female,2,Manufacturing Director,Single,4424,Y,No,11,2,11,7,1,8
35,Travel_Rarely,Sales,1,4,Marketing,Male,2,Sales Executive,Single,4312,Y,No,16,2,15,13,2,8
45,Travel_Rarely,Research & Development,6,4,Other,Male,3,Research Director,Married,13245,Y,Yes,17,3,0,0,0,0
37,Travel_Rarely,Research & Development,7,4,Medical,Male,3,Research Director,Single,13664,Y,No,16,3,5,2,0,2
46,Travel_Rarely,Human Resources,5,2,Medical,Male,2,Human Resources,Divorced,5021,Y,Yes,16,2,4,2,0,2
30,Travel_Rarely,Research & Development,1,1,Life Sciences,Male,2,Laboratory Technician,Married,5126,Y,Yes,10,1,10,8,3,0
35,Travel_Rarely,Research & Development,1,3,Medical,Male,1,Research Scientist,Single,2859,Y,No,6,3,6,4,0,4
55,Travel_Rarely,Sales,1,2,Life Sciences,Male,3,Sales Executive,Married,10239,Y,No,24,4,1,0,1,0
38,Non-Travel,Research & Development,6,3,Medical,Female,2,Research Scientist,Divorced,5329,Y,Yes,17,3,13,11,1,9
34,Travel_Rarely,Research & Development,1,2,Medical,Male,2,Manufacturing Director,Married,4325,Y,No,5,2,5,2,1,3
56,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,3,Manufacturing Director,Single,7260,Y,No,37,3,6,4,0,2
23,Travel_Rarely,Sales,2,1,Technical Degree,Male,1,Sales Representative,Divorced,2322,Y,No,3,3,0,0,0,0
51,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,1,Laboratory Technician,Married,2075,Y,No,10,4,4,2,0,3
30,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Healthcare Representative,Married,4152,Y,No,11,3,11,10,10,8
46,Travel_Rarely,Sales,9,2,Medical,Male,3,Sales Executive,Single,9619,Y,No,9,3,9,8,4,7
40,Travel_Frequently,Research & Development,1,4,Life Sciences,Male,4,Healthcare Representative,Married,13503,Y,No,22,3,22,3,11,11
51,Travel_Rarely,Sales,21,4,Marketing,Male,2,Sales Executive,Single,5441,Y,Yes,11,2,10,7,1,0
30,Travel_Rarely,Sales,4,2,Medical,Female,2,Sales Executive,Divorced,5209,Y,Yes,11,4,11,8,2,7
46,Travel_Frequently,Research & Development,1,3,Medical,Male,3,Healthcare Representative,Married,10673,Y,Yes,21,5,10,9,9,5
32,Travel_Rarely,Sales,6,4,Medical,Male,2,Sales Executive,Single,5010,Y,No,12,0,11,8,5,7
54,Travel_Rarely,Research & Development,2,4,Technical Degree,Female,3,Research Director,Married,13549,Y,No,16,5,4,3,0,3
24,Travel_Rarely,Sales,3,2,Other,Female,2,Sales Executive,Married,4999,Y,No,4,2,3,2,0,2
28,Non-Travel,Sales,4,3,Medical,Male,2,Sales Executive,Married,4221,Y,No,5,3,5,4,0,4
58,Travel_Rarely,Sales,10,4,Medical,Male,4,Sales Executive,Single,13872,Y,No,38,1,37,10,1,8
44,Non-Travel,Research & Development,23,3,Medical,Male,2,Laboratory Technician,Married,2042,Y,No,17,3,3,2,1,2
37,Travel_Rarely,Human Resources,6,4,Human Resources,Male,1,Human Resources,Divorced,2073,Y,Yes,7,3,3,2,0,2
32,Travel_Rarely,Research & Development,1,1,Life Sciences,Male,1,Research Scientist,Single,2956,Y,No,1,2,1,0,0,0
20,Travel_Frequently,Research & Development,6,3,Life Sciences,Female,1,Laboratory Technician,Single,2926,Y,Yes,1,5,1,0,1,0
34,Travel_Rarely,Research & Development,6,4,Other,Female,2,Research Scientist,Single,4809,Y,No,16,3,16,13,2,10
37,Non-Travel,Research & Development,2,2,Life Sciences,Male,2,Healthcare Representative,Divorced,5163,Y,No,17,2,1,0,0,0
59,Non-Travel,Human Resources,2,4,Human Resources,Female,5,Manager,Married,18844,Y,No,30,3,3,2,2,2
50,Travel_Frequently,Research & Development,1,3,Life Sciences,Female,5,Research Director,Married,18172,Y,Yes,28,1,8,3,0,7
25,Travel_Rarely,Sales,5,3,Marketing,Male,2,Sales Executive,Single,5744,Y,Yes,6,1,6,4,0,3
25,Travel_Rarely,Research & Development,7,1,Medical,Male,1,Research Scientist,Married,2889,Y,No,2,2,2,2,2,1
22,Travel_Rarely,Research & Development,15,3,Medical,Female,1,Laboratory Technician,Single,2871,Y,No,1,5,0,0,0,0
51,Travel_Frequently,Research & Development,1,4,Medical,Female,3,Healthcare Representative,Single,7484,Y,No,23,1,13,12,12,8
34,Travel_Frequently,Research & Development,7,3,Life Sciences,Male,2,Laboratory Technician,Single,6074,Y,Yes,9,3,9,7,0,6
54,Non-Travel,Human Resources,26,3,Human Resources,Female,4,Manager,Single,17328,Y,Yes,23,3,5,3,4,4
24,Travel_Rarely,Research & Development,18,1,Life Sciences,Male,1,Laboratory Technician,Married,2774,Y,No,6,2,5,3,1,2
34,Travel_Rarely,Research & Development,6,4,Life Sciences,Female,2,Research Scientist,Divorced,4505,Y,No,12,3,1,0,0,0
37,Travel_Rarely,Sales,3,3,Life Sciences,Male,3,Sales Executive,Single,7428,Y,No,12,3,5,3,1,3
34,Travel_Rarely,Research & Development,5,3,Medical,Female,3,Manager,Single,11631,Y,No,14,6,11,10,5,8
36,Travel_Frequently,Sales,11,2,Technical Degree,Female,3,Sales Executive,Married,9738,Y,No,10,6,9,7,2,8
36,Travel_Rarely,Research & Development,3,2,Life Sciences,Female,1,Laboratory Technician,Divorced,2835,Y,No,7,2,1,0,0,0
43,Travel_Frequently,Sales,26,2,Life Sciences,Male,4,Manager,Married,16959,Y,Yes,25,3,25,12,4,12
30,Travel_Frequently,Research & Development,23,3,Life Sciences,Male,1,Research Scientist,Divorced,2613,Y,No,10,2,10,7,0,9
33,Non-Travel,Sales,22,2,Marketing,Male,2,Sales Executive,Married,6146,Y,No,8,2,7,7,0,7
56,Travel_Rarely,Research & Development,14,4,Life Sciences,Female,1,Research Scientist,Married,4963,Y,Yes,7,2,5,4,4,3
51,Travel_Rarely,Research & Development,6,3,Life Sciences,Male,5,Research Director,Single,19537,Y,No,23,5,20,18,15,15
31,Travel_Rarely,Sales,6,4,Life Sciences,Male,2,Sales Executive,Married,6172,Y,Yes,12,3,7,7,7,7
26,Travel_Rarely,Research & Development,6,3,Other,Female,1,Research Scientist,Married,2368,Y,No,5,3,5,4,4,3
58,Travel_Rarely,Research & Development,23,4,Medical,Female,3,Healthcare Representative,Married,10312,Y,No,40,3,40,10,15,6
19,Travel_Rarely,Sales,22,1,Marketing,Male,1,Sales Representative,Single,1675,Y,Yes,0,2,0,0,0,0
22,Travel_Rarely,Research & Development,2,1,Technical Degree,Male,1,Laboratory Technician,Married,2523,Y,No,3,2,2,1,2,1
49,Travel_Rarely,Research & Development,20,4,Medical,Female,2,Manufacturing Director,Married,6567,Y,No,16,2,15,11,5,11
43,Travel_Frequently,Research & Development,28,3,Medical,Female,1,Research Scientist,Single,4739,Y,No,18,2,3,2,1,2
50,Travel_Frequently,Sales,12,3,Marketing,Female,3,Sales Executive,Single,9208,Y,No,16,3,2,2,2,1
31,Travel_Rarely,Sales,20,3,Life Sciences,Female,2,Sales Executive,Married,4559,Y,Yes,4,2,2,2,2,2
41,Travel_Rarely,Sales,9,1,Life Sciences,Male,3,Sales Executive,Divorced,8189,Y,Yes,12,2,9,7,0,7
26,Travel_Rarely,Human Resources,25,1,Life Sciences,Female,1,Human Resources,Married,2942,Y,No,8,3,8,7,5,7
36,Travel_Rarely,Research & Development,6,2,Medical,Male,2,Manufacturing Director,Divorced,4941,Y,No,7,0,3,2,0,1
51,Travel_Frequently,Research & Development,8,4,Life Sciences,Male,3,Manufacturing Director,Single,10650,Y,No,18,2,4,2,0,3
39,Travel_Rarely,Sales,4,4,Life Sciences,Female,2,Sales Executive,Married,5902,Y,No,17,1,15,11,5,9
25,Travel_Rarely,Sales,28,3,Life Sciences,Male,2,Sales Executive,Married,8639,Y,No,6,3,2,2,2,2
30,Travel_Rarely,Human Resources,9,3,Human Resources,Male,2,Human Resources,Married,6347,Y,Yes,12,2,11,9,4,7
32,Travel_Rarely,Research & Development,9,3,Medical,Female,1,Laboratory Technician,Single,4200,Y,No,10,2,5,4,0,4
45,Travel_Rarely,Research & Development,29,3,Medical,Male,1,Research Scientist,Single,3452,Y,No,9,2,6,5,0,3
38,Travel_Rarely,Research & Development,3,5,Technical Degree,Female,2,Research Scientist,Single,4317,Y,Yes,19,2,3,2,2,2
30,Travel_Rarely,Research & Development,18,3,Life Sciences,Female,1,Research Scientist,Single,2632,Y,No,5,4,5,4,0,4
32,Travel_Frequently,Sales,9,2,Medical,Male,2,Sales Executive,Divorced,4668,Y,No,9,2,8,7,0,7
30,Travel_Rarely,Research & Development,5,3,Technical Degree,Female,1,Research Scientist,Divorced,3204,Y,No,8,3,3,2,2,2
30,Travel_Rarely,Research & Development,2,1,Medical,Male,1,Laboratory Technician,Single,2720,Y,No,6,3,5,3,1,2
41,Travel_Frequently,Research & Development,10,3,Life Sciences,Male,4,Manager,Divorced,17181,Y,No,21,2,7,6,7,7
41,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,1,Laboratory Technician,Married,2238,Y,No,7,2,5,0,1,4
19,Travel_Rarely,Research & Development,3,1,Medical,Female,1,Laboratory Technician,Single,1483,Y,No,1,3,1,0,0,0
40,Travel_Frequently,Research & Development,26,3,Medical,Female,2,Research Scientist,Divorced,5605,Y,No,20,2,20,7,2,13
35,Travel_Rarely,Sales,1,5,Marketing,Male,3,Sales Executive,Married,7295,Y,No,10,3,10,8,0,6
53,Travel_Rarely,Sales,6,2,Marketing,Male,2,Sales Representative,Married,2306,Y,Yes,13,3,7,7,4,5
45,Travel_Rarely,Research & Development,9,3,Life Sciences,Male,2,Laboratory Technician,Divorced,2348,Y,No,20,2,17,9,0,15
32,Travel_Frequently,Sales,8,3,Marketing,Female,3,Sales Executive,Single,8998,Y,No,9,2,9,8,3,7
29,Non-Travel,Research & Development,1,1,Technical Degree,Male,2,Manufacturing Director,Married,4319,Y,No,10,1,10,7,0,9
51,Travel_Rarely,Research & Development,7,4,Medical,Male,2,Manufacturing Director,Married,6132,Y,No,10,2,1,0,0,0
58,Travel_Rarely,Research & Development,9,3,Medical,Female,1,Research Scientist,Married,3346,Y,Yes,9,3,1,0,0,0
40,Travel_Rarely,Sales,4,4,Marketing,Male,3,Sales Executive,Married,10855,Y,No,15,2,12,11,2,11
34,Travel_Frequently,Sales,2,4,Marketing,Female,1,Sales Representative,Married,2231,Y,No,6,3,4,3,1,2
22,Travel_Rarely,Research & Development,19,1,Medical,Male,1,Research Scientist,Married,2323,Y,No,2,6,2,2,2,2
27,Non-Travel,Research & Development,9,3,Medical,Male,1,Research Scientist,Divorced,2024,Y,No,6,1,2,2,2,2
28,Travel_Rarely,Research & Development,21,3,Medical,Male,1,Research Scientist,Married,2713,Y,No,5,2,5,2,0,2
57,Travel_Rarely,Research & Development,24,2,Life Sciences,Male,3,Healthcare Representative,Divorced,9439,Y,Yes,12,2,5,3,1,4
27,Non-Travel,Research & Development,3,3,Medical,Male,1,Research Scientist,Divorced,2566,Y,Yes,1,2,1,1,0,1
50,Travel_Rarely,Research & Development,11,3,Life Sciences,Female,5,Manager,Single,19926,Y,No,21,5,5,4,4,4
41,Travel_Rarely,Research & Development,14,3,Life Sciences,Male,1,Research Scientist,Divorced,2451,Y,No,13,2,9,8,1,8
30,Travel_Rarely,Sales,5,3,Life Sciences,Female,3,Sales Executive,Married,9419,Y,No,12,2,10,9,7,4
38,Travel_Rarely,Sales,1,4,Life Sciences,Female,2,Sales Executive,Single,8686,Y,No,12,2,8,3,0,7
32,Travel_Rarely,Research & Development,6,5,Life Sciences,Male,1,Research Scientist,Single,3038,Y,No,8,2,5,4,1,4
27,Travel_Rarely,Research & Development,17,3,Technical Degree,Male,1,Research Scientist,Married,3058,Y,Yes,6,3,5,2,1,1
19,Travel_Frequently,Sales,1,1,Technical Degree,Female,1,Sales Representative,Single,2325,Y,No,1,5,0,0,0,0
36,Travel_Frequently,Research & Development,3,2,Medical,Male,1,Laboratory Technician,Single,2088,Y,No,13,3,8,7,7,2
30,Non-Travel,Research & Development,9,3,Medical,Male,2,Laboratory Technician,Divorced,3072,Y,No,12,4,12,9,6,10
45,Travel_Rarely,Sales,4,2,Life Sciences,Female,2,Sales Executive,Divorced,5006,Y,Yes,9,3,5,4,0,3
56,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,1,Research Scientist,Divorced,4257,Y,Yes,19,3,2,2,2,2
33,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,1,Research Scientist,Single,2500,Y,No,4,2,3,1,0,2
19,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,1,Laboratory Technician,Single,1102,Y,No,1,3,1,0,1,0
46,Travel_Rarely,Sales,1,2,Marketing,Female,3,Sales Executive,Divorced,10453,Y,No,24,2,24,13,15,7
38,Travel_Rarely,Research & Development,9,2,Life Sciences,Female,1,Laboratory Technician,Single,2288,Y,No,2,3,2,2,2,1
31,Travel_Rarely,Research & Development,12,1,Medical,Female,1,Research Scientist,Married,3929,Y,Yes,7,0,4,2,0,2
34,Travel_Rarely,Research & Development,27,2,Medical,Female,1,Research Scientist,Single,2311,Y,No,9,3,3,2,1,2
41,Travel_Rarely,Sales,20,2,Marketing,Female,1,Sales Representative,Single,3140,Y,Yes,4,5,4,3,0,2
50,Travel_Rarely,Research & Development,1,3,Medical,Male,1,Laboratory Technician,Married,3690,Y,No,5,2,3,2,0,2
53,Travel_Rarely,Research & Development,13,2,Medical,Female,2,Manufacturing Director,Divorced,4450,Y,No,5,3,4,2,1,3
33,Travel_Rarely,Research & Development,14,3,Medical,Female,1,Research Scientist,Married,2756,Y,No,8,5,8,7,1,6
40,Travel_Rarely,Research & Development,4,1,Medical,Female,5,Manager,Married,19033,Y,No,21,2,20,8,9,9
55,Travel_Rarely,Research & Development,14,4,Medical,Male,5,Research Director,Single,18722,Y,No,36,3,24,15,2,15
34,Travel_Frequently,Research & Development,2,1,Life Sciences,Male,2,Manufacturing Director,Married,9547,Y,No,10,2,10,9,1,9
51,Travel_Rarely,Research & Development,3,3,Medical,Female,4,Healthcare Representative,Single,13734,Y,No,21,6,7,7,1,0
52,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,5,Manager,Married,19999,Y,No,34,5,33,18,11,9
27,Travel_Rarely,Research & Development,9,3,Medical,Female,1,Research Scientist,Single,2279,Y,No,7,2,7,7,0,3
35,Travel_Rarely,Research & Development,23,2,Life Sciences,Male,2,Manufacturing Director,Married,5916,Y,Yes,8,1,1,0,0,1
43,Non-Travel,Research & Development,7,3,Medical,Male,1,Research Scientist,Divorced,2089,Y,No,7,3,5,4,2,2
45,Non-Travel,Research & Development,2,2,Medical,Male,4,Manager,Married,16792,Y,No,22,1,20,8,11,8
37,Travel_Rarely,Research & Development,21,3,Life Sciences,Male,1,Research Scientist,Married,3564,Y,Yes,8,3,8,7,1,7
35,Travel_Frequently,Research & Development,2,3,Medical,Female,2,Laboratory Technician,Single,4425,Y,No,10,5,6,2,1,2
42,Non-Travel,Research & Development,21,2,Medical,Female,2,Manufacturing Director,Divorced,5265,Y,No,11,5,5,3,0,2
38,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,2,Manufacturing Director,Married,6553,Y,No,14,3,1,0,0,0
38,Travel_Rarely,Research & Development,29,3,Technical Degree,Male,2,Manufacturing Director,Married,6261,Y,No,9,3,7,7,1,7
27,Travel_Frequently,Research & Development,1,1,Technical Degree,Male,2,Manufacturing Director,Married,4298,Y,No,6,1,2,2,2,0
49,Non-Travel,Research & Development,18,4,Life Sciences,Male,2,Manufacturing Director,Divorced,6804,Y,Yes,7,0,7,7,1,7
34,Travel_Frequently,Research & Development,10,4,Medical,Male,1,Research Scientist,Divorced,3815,Y,Yes,5,4,5,3,2,0
40,Travel_Rarely,Research & Development,19,2,Medical,Male,2,Laboratory Technician,Married,2741,Y,Yes,15,2,7,2,3,7
38,Travel_Rarely,Research & Development,29,1,Medical,Male,2,Healthcare Representative,Married,6673,Y,Yes,17,2,1,0,0,0
29,Travel_Rarely,Sales,27,3,Marketing,Female,3,Sales Executive,Married,7639,Y,No,10,3,10,4,1,9
22,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,1,Research Scientist,Divorced,2328,Y,Yes,4,2,4,2,2,2
36,Travel_Frequently,Research & Development,18,1,Medical,Female,1,Laboratory Technician,Single,2153,Y,No,8,2,8,1,1,7
40,Non-Travel,Research & Development,9,5,Life Sciences,Male,2,Healthcare Representative,Married,4876,Y,No,5,5,3,2,0,2
46,Travel_Rarely,Research & Development,1,4,Medical,Male,3,Healthcare Representative,Divorced,9396,Y,No,17,3,4,2,0,3
32,Travel_Rarely,Sales,4,4,Medical,Male,3,Sales Executive,Married,10400,Y,No,14,2,14,8,9,8
30,Non-Travel,Research & Development,1,1,Life Sciences,Male,3,Manufacturing Director,Single,8474,Y,No,12,2,11,8,5,8
27,Travel_Frequently,Sales,20,3,Life Sciences,Female,2,Sales Executive,Single,9981,Y,No,7,2,7,7,0,7
51,Travel_Rarely,Research & Development,8,4,Life Sciences,Male,3,Research Director,Married,12490,Y,No,16,5,10,9,4,7
30,Travel_Rarely,Research & Development,3,3,Technical Degree,Female,1,Research Scientist,Single,2657,Y,Yes,8,5,5,2,0,4
41,Travel_Rarely,Sales,6,3,Life Sciences,Female,3,Manager,Single,13591,Y,Yes,16,3,1,0,0,0
30,Travel_Frequently,Sales,26,4,Marketing,Female,2,Sales Executive,Single,6696,Y,No,9,5,6,3,0,1
29,Travel_Rarely,Research & Development,1,3,Technical Degree,Male,1,Research Scientist,Single,2058,Y,No,7,1,6,2,1,5
45,Non-Travel,Sales,6,3,Medical,Female,3,Sales Executive,Single,8865,Y,No,23,2,19,7,12,8
54,Travel_Rarely,Sales,3,3,Marketing,Female,2,Sales Executive,Married,5940,Y,No,16,4,6,2,0,5
