id,store_name,store_email,department,income,date_measured,country
50,"ChemoCentryx, Inc.",mrenny1d@hatena.ne.jp,Computers,$79009006.26,15 March 1989,UNITED STATES
51,IQ Chaikin U.S. Small Cap ETF,,Beauty,$10746587.89,5 August 2004,South Africa/
52,Textainer Group Holdings Limited,,Home,$61594948.18,2 October 1999,United Kingdom/
53,"Brookline Bancorp, Inc.",bbruneton1g@dailymotion.com,Movies,$15708206.65,12 May 1997,United States 
54,Christopher & Banks Corporation,,Toys,$63712978.44,15 December 2005,United States.
55,"The Bon-Ton Stores, Inc.",,Tools,$54902950.68,5 July 1997, United States
56,Jensyn Acquistion Corp.,,Home,$10012452.97,13 June 1996,United States/
57,"Northfield Bancorp, Inc.",,Baby,$15044289.80,21 March 2005,South Africa.
58,Extra Space Storage Inc,,Health,$81459541.82,26 August 2009, United States
59,"CapStar Financial Holdings, Inc.",,Baby,$81245084.12,2 July 2010, United States
60,"Interpublic Group of Companies, Inc. (The)",olangan1n@barnesandnoble.com,Electronics,$3557559.32,14 December 1993,united kingdom
61,LHC Group,hwestrey1o@jigsy.com,Jewelry,$28458081.44,13 December 1994,UNITED STATES OF AMERICA
62,"Alliance Holdings GP, L.P.",,Home,$59015579.18,27 October 1985,United States
63,JMU Limited,,Beauty,$79106483.07,2 June 2010,united states
64,"Cedar Realty Trust, Inc.",,Baby,$12463300.46,4 September 1990,United States of America.
65,"Cavco Industries, Inc.",,Kids,$53771183.86,22 October 1998,United States of America.
66,Capital City Bank Group,,Baby,$45712413.61,16 June 2003,South Africa/
67,"Kratos Defense & Security Solutions, Inc.",okhomishin1u@oakley.com,Books,$78539919.99,15 August 2003,United States
68,The Intergroup Corporation,,Garden,$69900311.41,27 December 2006,UK 
69,TransCanada Corporation,cdufaur1w@webs.com,Jewelry,$7246755.41,6 August 2006,UK
70,Amarin Corporation plc,djura1x@amazon.de,,$67286696.47,18 May 1993,UNITED STATES
71,Belden Inc,kbevington1y@last.fm,Outdoors,$73846486.84,23 April 2004,united states
72,"Safeguard Scientifics, Inc.",,Automotive,$29756244.15,24 June 1997,South Africa/
73,"Kirkland's, Inc.",,Clothing,$12621170.22,24 September 1970,South Africa.
74,GasLog Partners LP,ttayt21@devhub.com,Outdoors,$65138567.40,5 April 2004,United Kingdom.
75,Humana Inc.,,Sports,$13640139.45,18 March 2005,UK
76,"Everspin Technologies, Inc.",,Movies,$80755578.48,8 February 2011,United States 
77,"Dr Pepper Snapple Group, Inc",danstee24@wix.com,Movies,$87768768.83,20 May 2012,united states of america
78,"AcelRx Pharmaceuticals, Inc.",hcrane25@addthis.com,Garden,$20404582.52,6 May 1978,United States of America.
79,"Transcontinental Realty Investors, Inc.",,Computers,$43544199.56,20 April 2009,united states of america
80,Lennar Corporation,skahen27@forbes.com,Games,$46479031.19,26 February 2004,united states
81,"BeiGene, Ltd.",khow28@irs.gov,Toys,$74632262.36,20 July 2001,united states
82,FIRST REPUBLIC BANK,,Home,$98038007.79,16 May 1985,United States of America.
83,Invacare Corporation,,Tools,$31671772.23,6 November 2008, United Kingdom
84,PBF Energy Inc.,,Home,$9183184.99,5 July 1978,south africa
85,Tiptree Inc.,,Grocery,$21233771.08,7 December 2002,United Kingdom
86,Vulcan Materials Company,,Automotive,$57363630.56,16 July 1998,united states
87,"Extreme Networks, Inc.",npayton2e@howstuffworks.com,Toys,$13410134.84,7 October 2000,United States of America/
88,"NextEra Energy, Inc.",,Beauty,$73816446.78,27 August 2012,South Africa.
89,Mercer International Inc.,,Garden,$15711848.36,26 December 2007,UK 
90,Salient Midstream & MLP Fund,cjory2h@gmpg.org,Books,$82554446.10,25 June 2002,United States of America
91,"Celadon Group, Inc.",,Movies,$68941482.21,2 October 1996, United States
92,"ALJ Regional Holdings, Inc.",,Grocery,$89368007.47,22 July 2000,UK
93,"Juniper Networks, Inc.",,Toys,$84405684.49,8 September 1992,United Kingdom/
94,Novanta Inc.,glucia2l@deviantart.com,Beauty,$31563148.09,25 June 1998,South Africa.
95,Triangle Capital Corporation,crodolf2m@ask.com,Tools,$23825679.54,19 September 1998,united kingdom
96,Telecom Italia S.P.A.,,Toys,$61199426.97,18 August 2010,United Kingdom.
97,Bank of America Corporation,zsussans2o@discuz.net,Automotive,$78947711.82,20 August 2006, United Kingdom
98,ON Semiconductor Corporation,dmcaneny2p@friendfeed.com,Outdoors,$856142.71,19 March 1963,south africa
99,International Speedway Corporation,,Automotive,$91817502.46,8 June 2001,UK/
100,Entegra Financial Corp.,gbowling2r@vimeo.com,Toys,$87400217.97,12 July 2002, South Africa
101,Abeona Therapeutics Inc.,tlammertz2s@google.es,Games,$57280965.64,4 July 2012,United States 
102,"Poage Bankshares, Inc.",eshemming2t@tripadvisor.com,Sports,$27664852.63,12 February 2006,united kingdom
103,"Vitamin Shoppe, Inc",,Games,$94385994.29,20 July 2001,UK
104,"Owens & Minor, Inc.",rshevell2v@odnoklassniki.ru,Outdoors,$14901499.68,13 September 2010, UK
105,Apache Corporation,,Clothing,$29670677.06,8 October 1984,UK
106,Bitauto Holdings Limited,,Home,$160042.27,3 October 1994,South Africa 
107,First Trust High Income Long Short Fund,,Toys,$75397882.66,8 October 1998,UK 
108,Thomson Reuters Corp,aciciotti2z@phpbb.com,Shoes,$75630073.35,16 January 2005,United States/
109,WNS (Holdings) Limited,,Home,$16933435.84,3 August 2007,United States/
110,Sherwin-Williams Company (The),mmenaul31@smugmug.com,Clothing,$1791354.11,16 June 1996,UK
111,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,rfilyakov32@springer.com,Toys,$24433244.97,8 January 1986,United States of America.
112,Pacific Premier Bancorp Inc,,Games,$88521324.45,24 June 2009,UK 
113,"Infinity Pharmaceuticals, Inc.",,Tools,$82226912.36,8 July 2010,UK
114,SPDR Dorsey Wright Fixed Income Allocation ETF,,Automotive,$17347616.14,6 September 2007,South Africa
115,"Hawaiian Holdings, Inc.",hbridel36@live.com,Movies,$56881548.31,24 October 1998,uk
116,Exterran Corporation,apetyankin37@google.es,Baby,$45080944.24,8 January 1999, United States of America
117,Westmoreland Coal Company,aroxbrough38@cnet.com,Grocery,$89647782.48,18 August 1984,united states of america
118,Altisource Portfolio Solutions S.A.,tventam39@tamu.edu,Sports,$1167739.52,25 May 1996,United States 
119,Lloyds Banking Group Plc,abaskerville3a@jigsy.com,Jewelry,$27477323.90,25 June 1996,united kingdom
120,Flowserve Corporation,bbertelet3b@bluehost.com,Games,$80179957.75,1 December 2006,United States of America 
121,VelocityShares 3x Inverse Gold ETN,sknibbs3c@irs.gov,Games,$20989721.85,3 March 2011,United Kingdom.
122,National General Holdings Corp,,Tools,$55429671.71,8 November 2008,South Africa/
123,"Rollins, Inc.",,Health,$78536144.79,18 May 2000,United Kingdom/
124,Horizons DAX Germany ETF,,Clothing,$86336821.26,19 April 2007,united states of america
125,Bank of America Corporation,mdidomenico3g@sakura.ne.jp,Outdoors,$48574873.55,10 August 1992,UK.
126,"Prudential Financial, Inc.",,Tools,$80699446.04,26 February 2000,United Kingdom
127,Principal Healthcare Innovators Index ETF,apow3i@exblog.jp,Jewelry,$4178728.11,24 June 2008, United States
128,Universal Display Corporation,,Automotive,$89200581.72,18 November 1960,united kingdom
129,Nuveen Michigan Quality Municipal Income Fund,,Music,$72066777.05,12 January 2002,United States.
130,Lions Gate Entertainment Corporation,aakerman3l@yale.edu,Electronics,$61221308.53,10 December 2008,South Africa/
131,Heico Corporation,,Music,$51839011.01,16 January 1999,United Kingdom
132,Corning Incorporated,,Electronics,$30278882.07,10 November 1993,united states of america
133,Credit Suisse AG,vmoss3o@amazon.de,Movies,$16836704.24,24 November 1993, United States of America
134,Kennametal Inc.,klargent3p@hibu.com,Industrial,$42925052.13,12 October 2007,United States.
135,Nuveen Short Duration Credit Opportunities Fund,dofficer3q@chron.com,Electronics,$45159215.74,2 January 1988,United States of America
136,Federal Realty Investment Trust,,Automotive,$78795437.61,14 January 2003,UNITED STATES OF AMERICA
137,F.N.B. Corporation,,Health,$56816841.96,26 February 1988,South Africa.
138,Quinpario Acquisition Corp. 2,,Baby,$61384136.07,13 September 1996,United States
139,"Marcus & Millichap, Inc.",,Electronics,$43995798.14,27 June 2004,United States of America.
140,"Entergy Louisiana, Inc.",,Music,$13963032.66,23 August 1992,UK.
141,"DSP Group, Inc.",aallawy3w@sciencedirect.com,Shoes,$23170196.45,6 November 1995,South Africa.
142,Bank of America Corporation,,Sports,$1853075.58,13 August 2006,South Africa/
143,Energous Corporation,,Electronics,$4467770.23,5 March 2007,united states of america
144,Investors Real Estate Trust,bsieur3z@toplist.cz,Sports,$81142637.75,4 October 1986,South Africa
145,"Midland States Bancorp, Inc.",,Outdoors,$25211071.68,8 May 2010,South Africa
146,"Diplomat Pharmacy, Inc.",ecausier41@amazon.de,Music,$95620377.66,15 November 2008,United States of America/
147,Discover Financial Services,mmccreagh42@netlog.com,Baby,$55198695.75,17 March 1984,UK/
148,Amedica Corporation,,Outdoors,$45967485.13,4 May 2009,united states of america
149,"Concert Pharmaceuticals, Inc.",dbenzi44@reddit.com,Automotive,$26545775.37,13 July 1995,United Kingdom.
150,"Aberdeen Japan Equity Fund, Inc. ",mmadrell45@drupal.org,Kids,$90760328.08,24 July 1997,south africa
151,"Assurant, Inc.",sbare46@netscape.com,Electronics,$48527857.37,1 November 1990,SOUTH AFRICA
152,Noodles & Company,adavidsson47@imageshack.us,,$40609743.80,2 September 2011,United Kingdom/
153,Nuveen New York Municipal Value Fund 2,,Clothing,$23488727.10,1 July 1995,united kingdom
154,"PB Bancorp, Inc.",tdoppler49@cpanel.net,Computers,$85852566.40,8 July 2002, South Africa
155,"Cidara Therapeutics, Inc.",vconti4a@cpanel.net,Tools,$8711880.58,7 March 1994,United States of America/
156,FIRST REPUBLIC BANK,dglasscoo4b@hao123.com,Grocery,$90684137.82,27 January 2000,United States of America
157,Invesco Credit Opportunities Fund,bbanghe4c@cbc.ca,Kids,$43274196.01,19 January 2007,United States.
158,Cimpress N.V,,Garden,$13179663.99,5 April 2003,United Kingdom
159,"Stericycle, Inc.",,Outdoors,$53872201.90,18 December 1994,United States of America
160,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,mbardell4f@people.com.cn,Kids,$18425995.58,19 October 1999,UK/
161,Nevro Corp.,,Clothing,$3677980.65,10 February 2006,South Africa 
162,Vanguard Intermediate -Term Government Bond ETF,,Electronics,$56580921.34,13 April 1990,United States of America
163,Heritage Financial Corporation,,Jewelry,$86458506.24,12 November 2007,UNITED STATES
164,"Conn's, Inc.",,Shoes,$48585592.95,1 August 1995,United States of America.
165,"Home Bancorp, Inc.",,Outdoors,$90098060.11,8 May 1978,UK
166,Amdocs Limited,,Shoes,$34840754.86,11 May 2000,United Kingdom.
167,Prana Biotechnology Ltd,,Music,$11378622.77,16 July 2005,UNITED STATES
168,"GoPro, Inc.",,Jewelry,$37112543.49,4 October 2008,United States of America
169,"Spok Holdings, Inc.",,Shoes,$17101356.97,12 February 1992,United Kingdom 
170,iShares MSCI EAFE Small-Cap ETF,,Industrial,$5760890.24,10 July 2003,United States
171,"Acasti Pharma, Inc.",emannock4q@etsy.com,Health,$22240472.33,8 October 2005, UK
172,General Cable Corporation,jmacilurick4r@netlog.com,Clothing,$17157586.44,9 June 2002,united states
173,Janus Henderson Small Cap Growth Alpha ETF,,Games,$1115820.58,8 August 1994,SOUTH AFRICA
174,Illinois Tool Works Inc.,vmcillroy4t@hatena.ne.jp,Sports,$17114493.35,17 November 2007,South Africa/
175,DarioHealth Corp.,,Beauty,$79500696.42,5 January 2009,United Kingdom 
176,"LightInTheBox Holding Co., Ltd.",livanichev4v@smh.com.au,Industrial,$43321277.55,2 January 1992, United States of America
177,"ABIOMED, Inc.",sbraney4w@naver.com,,$141522.34,18 October 2005,United States of America/
178,"AmTrust Financial Services, Inc.",egawler4x@nationalgeographic.com,Computers,$11790929.66,23 September 2012,UK
179,eGain Corporation,,Tools,$29700935.25,20 July 1992,UK/
180,"Xenia Hotels & Resorts, Inc.",agobel4z@hatena.ne.jp,Jewelry,$71848937.39,20 November 2008,United States
181,PowerShares S&P SmallCap Financials Portfolio,,Kids,$43122133.45,21 September 2002,united kingdom
182,"ViaSat, Inc.",kivanyukov51@squarespace.com,Health,$70349873.83,26 June 1987,UK
183,NovoCure Limited,,Garden,$95476651.47,12 October 1999,UNITED KINGDOM
184,"Selective Insurance Group, Inc.",,Music,$9641831.29,4 February 2000,United States of America.
185,Credit Suisse AG,aivanikov54@house.gov,Tools,$89203199.22,23 June 2009,South Africa/
186,Anworth Mortgage Asset  Corporation,,Jewelry,$66373505.81,13 November 1979,united states
187,Nuveen Insured California Select Tax-Free Income Portfolio,,Grocery,$62414167.57,7 June 2006,SOUTH AFRICA
188,"Veracyte, Inc.",,Games,$35333288.96,7 March 1999,South Africa/
189,PureFunds ETFx HealthTech ETF,,Home,$92683333.26,1 September 1995,united kingdom
190,Companhia Brasileira de Distribuicao,,Industrial,$65863090.56,15 November 2001,United States/
191,Actua Corporation,,Computers,$93822176.07,22 February 1995, United States
192,Chemed Corp.,,Industrial,$29891441.13,27 July 1997, United States
193,"Tower International, Inc.",,Music,$17607137.54,14 August 2013,United Kingdom 
194,Cognizant Technology Solutions Corporation,,Shoes,$50865269.56,24 October 2008,United Kingdom/
195,The Carlyle Group L.P.,jouchterlony5e@cnet.com,Kids,$79250741.94,9 November 1986,United States 
196,"P & F Industries, Inc.",,Shoes,$19285527.87,16 December 2002,United Kingdom.
197,"BancorpSouth, Inc.",,Tools,$74913147.02,8 August 2002,united states of america
198,Xperi Corporation,,Automotive,$15989885.34,27 April 2010,united states of america
199,Agrium Inc.,,Outdoors,$36905259.52,21 November 2006, United States
200,EXFO Inc,ssemerad5j@list-manage.com,Grocery,$9436329.07,23 April 2000,United States
201,"Texas Capital Bancshares, Inc.",,Outdoors,$78190419.71,5 November 1991,United States of America/
202,Immuron Limited,lderrick5l@chicagotribune.com,Beauty,$66799626.75,22 December 1994, United Kingdom
203,"Ambarella, Inc.",,Baby,$14384553.05,2 March 2001,UK
204,Western Asset/Claymore U.S. Treasury Inflation Prot Secs Fd,groles5n@histats.com,Grocery,$76757108.46,1 September 2009, South Africa
205,DSW Inc.,hlambrechts5o@nih.gov,Books,$15338266.25,25 August 1997,South Africa/
206,"Raven Industries, Inc.",,Toys,$94682705.52,19 April 2006,United Kingdom.
207,ECA Marcellus Trust I,,Kids,$62620448.49,13 June 1999,United Kingdom 
208,Concord Medical Services Holdings Limited,,Sports,$76908385.47,8 October 2000,UK
209,Shenandoah Telecommunications Co,,Electronics,$32566341.84,8 March 1986, United States
210,"Avid Technology, Inc.",ntuckley5t@earthlink.net,Baby,$52155716.33,19 April 2002,South Africa.
211,"SPX FLOW, Inc.",,Outdoors,$29494755.83,19 November 1992,United States
212,"Ascena Retail Group, Inc.",,Games,$73301159.69,5 June 2011, South Africa
213,Public Storage,,Books,$12766955.79,7 December 1997,United States 
214,"Provident Financial Services, Inc",,Grocery,$35478970.33,13 September 2007,United States.
215,"Ardelyx, Inc.",,Toys,$98561372.98,15 April 1995,UNITED KINGDOM
216,"Enviva Partners, LP",,Sports,$84614286.16,27 July 1992,uk
217,Citigroup Inc.,rvern60@mozilla.com,Books,$89488923.52,15 January 2010,UNITED KINGDOM
218,"China HGS Real Estate, Inc.",,Toys,$32678110.91,24 March 2006,United States of America/
219,"Analog Devices, Inc.",,Computers,$22323759.98,25 November 1963,United States of America
220,Oil-Dri Corporation Of America,,Games,$15055607.42,11 April 2007,United States 
221,Investors Real Estate Trust,,Baby,$7611085.91,11 June 2006, United Kingdom
222,Silver Run Acquisition Corporation II,,Computers,$2837235.38,3 April 2002,UK/
223,"United Fire Group, Inc",dhartzogs66@gnu.org,Movies,$15910820.03,19 November 2005,United States.
224,CHS Inc,lesmead67@aboutads.info,Baby,$26787437.53,15 May 1994,UK
225,"Fidelity National Financial, Inc.",,Toys,$79468617.68,17 November 1995, UK
226,Foresight Autonomous Holdings Ltd.,,Automotive,$53012480.56,3 August 1997,UK/
227,IZEA Inc.,otrayte6a@constantcontact.com,Baby,$77507114.76,23 July 1994,United States/
228,"Asta Funding, Inc.",,Beauty,$97039022.99,16 February 2011, UK
229,Babcock,,Outdoors,$64263388.11,16 May 2005,UK/
230,Salesforce.com Inc,,Books,$96439419.55,22 November 1999,United States
231,Titan Machinery Inc.,knelthorp6e@microsoft.com,Electronics,$86254526.30,3 October 2010,united kingdom
232,Tredegar Corporation,jfattori6f@sourceforge.net,Electronics,$7864945.03,25 May 1990,United States of America 
233,Origo Acquisition Corporation,,Garden,$1728016.32,17 April 1992,South Africa 
234,"TJX Companies, Inc. (The)",,Music,$34235905.20,18 April 1997,united states
235,"Cellectar Biosciences, Inc.",kfowells6i@networkadvertising.org,Shoes,$99964688.01,16 February 2004, UK
236,"AngioDynamics, Inc.",apetto6j@va.gov,Tools,$90724852.27,13 September 2005, United States of America
237,Tidewater Inc.,,Clothing,$91237701.42,10 August 2002, United States
238,"Owens-Illinois, Inc.",,Sports,$18609827.64,19 November 2000, UK
239,THL Credit Senior Loan Fund,aacock6m@merriam-webster.com,Jewelry,$83653032.19,3 November 1986,SOUTH AFRICA
240,"North American Energy Partners, Inc.",bdow6n@biglobe.ne.jp,Garden,$16076794.10,8 April 2001,south africa
241,Vanguard Mortgage-Backed Securities ETF,smctavy6o@godaddy.com,Shoes,$38718310.61,12 June 2009, United Kingdom
242,Farmers National Banc Corp.,dstuchburie6p@google.co.jp,Electronics,$34350743.70,16 January 2009,South Africa.
243,"Barnes & Noble, Inc.",,Health,$53485703.63,4 November 2011,UNITED KINGDOM
244,"Huaneng Power International, Inc.",,Music,$21644854.74,18 August 1995,United States/
245,Territorial Bancorp Inc.,,Books,$46826939.95,26 March 2007, South Africa
246,Gladstone Commercial Corporation,,Toys,$43100751.23,20 February 2011,UK/
247,iShares S&P/Citigroup International Treasury Bond Fund,rhackett6u@ed.gov,Health,$99099942.62,7 December 2010,UK
248,Medallion Financial Corp.,dpillifant6v@4shared.com,Jewelry,$64537013.88,9 July 2005,United Kingdom/
249,RLI Corp.,,Industrial,$39618461.51,2 March 2011,South Africa/
250,"Myers Industries, Inc.",,Industrial,$14627366.66,12 February 2010,UK
251,"Emerald Expositions Events, Inc.",cderoos6y@google.fr,Health,$56721357.78,9 July 1992, United States
252,WashingtonFirst Bankshares Inc,,Jewelry,$299538.23,13 July 1997,united states of america
253,"CRA International,Inc.",hpebworth70@amazon.de,Baby,$47467259.25,6 March 1998,SOUTH AFRICA
254,PowerShares S&P SmallCap Financials Portfolio,bludman71@oaic.gov.au,Baby,$3093239.26,12 April 1996, South Africa
255,"aTyr Pharma, Inc.",iroache72@theatlantic.com,Electronics,$35739018.00,1 May 2004,UK 
256,Gramercy Property Trust,daulton73@fastcompany.com,Baby,$8044227.73,26 March 2004,United Kingdom 
257,Nuveen Credit Opportunities 2022 Target Term Fund,bferneyhough74@xrea.com,Sports,$36908240.52,23 February 1999,South Africa
258,"Beasley Broadcast Group, Inc.",nbolstridge75@sourceforge.net,Tools,$10921888.92,1 February 1990,UK/
259,"Winnebago Industries, Inc.",,Industrial,$93979378.36,15 February 2002,United Kingdom 
260,"Validus Holdings, Ltd.",ajenno77@go.com,Books,$47628341.82,7 June 2000,United States of America.
261,PICO Holdings Inc.,nhartop78@symantec.com,Electronics,$11900748.53,14 October 2001,South Africa/
262,"J. Jill, Inc.",awhanstall79@blog.com,Games,$95232579.34,2 February 1999,UK/
263,Caesarstone Ltd.,,Home,$90545858.00,16 April 1991, United States of America
264,"ACI Worldwide, Inc.",,Baby,$15520365.27,10 November 1995, United States
265,Azul S.A.,ccullagh7c@census.gov,Sports,$93261905.48,3 February 1998,UK
266,Vanguard Russell 1000 Value ETF,,Beauty,$58595676.93,20 October 1992,uk
267,Sears Canada Inc. ,,Industrial,$35739445.53,26 December 1993,South Africa 
268,KraneShares CSI China Internet ETF,ckarpman7f@nih.gov,Movies,$62374602.62,12 April 1992,South Africa.
269,Bank of America Corporation,,Industrial,$94184600.58,17 August 1991,uk
270,Ark Restaurants Corp.,,Clothing,$58876962.00,4 September 2003,United States of America 
271,West Corporation,kcandey7i@epa.gov,Health,$48817493.63,10 August 1986,UK/
272,Weingarten Realty Investors,dtremaine7j@dailymotion.com,Beauty,$693436.41,18 July 2001,UK
273,"SGOCO Group, Ltd",,Grocery,$44064118.41,21 May 2003,SOUTH AFRICA
274,"VASCO Data Security International, Inc.",amatys7l@sitemeter.com,Sports,$39520896.36,27 January 2007, UK
275,"Gray Television, Inc.",,Games,$80288079.25,13 September 1994,United Kingdom/
276,MidSouth Bancorp,eslocumb7n@narod.ru,Clothing,$3326844.64,25 October 2004,UNITED KINGDOM
277,"Chipotle Mexican Grill, Inc.",wrolfs7o@netvibes.com,Home,$53638450.93,7 June 2008,UK
278,CSRA Inc.,,Garden,$1134704.26,25 December 2000,UK/
279,Atomera Incorporated,,Movies,$22851944.46,5 April 1997,UK.
280,"BCE, Inc.",,Electronics,$12744409.82,17 April 2005,UK
281,AllianceBernstein Holding L.P.,dcartmell7s@economist.com,Books,$46829603.20,23 May 2007,United Kingdom 
282,Nuveen Global High Income Fund,skinman7t@mail.ru,Automotive,$40616606.32,13 July 2002,UK
283,Bank of America Corporation,mdibben7u@miitbeian.gov.cn,Health,$79341506.08,12 December 2002,South Africa/
284,"J.B. Hunt Transport Services, Inc.",,Outdoors,$54166771.86,18 February 2006, United States
285,Mylan N.V.,aprint7w@icio.us,Shoes,$13818030.98,2 August 2008,United States
286,Nutraceutical International Corporation,hyelding7x@blogger.com,Sports,$29676892.07,25 May 2002, United States
287,Westmoreland Coal Company,,Clothing,$24994117.83,22 April 2005,UNITED KINGDOM
288,1st Constitution Bancorp (NJ),,Clothing,$79140976.55,2 June 1998, United States of America
289,"TriState Capital Holdings, Inc.",,Garden,$8752678.25,16 August 2006, United States
290,Community West Bancshares,,Movies,$93527468.74,22 October 1995, United Kingdom
291,Enterprise Bancorp Inc,,Kids,$18238390.99,26 December 2000,United States of America 
292,National General Holdings Corp,cmauvin83@chron.com,Beauty,$56084351.23,19 March 1987,United States of America/
293,"StealthGas, Inc.",,Computers,$25936422.93,26 May 2003,UNITED KINGDOM
294,Rosetta Stone,,Health,$37729619.94,14 March 1998,United States of America/
295,"Patterson-UTI Energy, Inc.",,Grocery,$74157450.75,24 March 2003,South Africa/
296,Blackrock Enhanced Equity Dividend Trust,kprattin87@unc.edu,Computers,$8410018.41,10 March 1999, United States of America
297,Ciner Resources LP,,Industrial,$43665957.57,2 April 2012,United States of America/
298,Franklin Covey Company,,Computers,$86605044.25,5 February 1996,SOUTH AFRICA
299,"Euronet Worldwide, Inc.",,Health,$76733762.90,2 February 2005,South Africa/
300,"Viking Therapeutics, Inc.",lrupke8b@techcrunch.com,Jewelry,$74800439.59,13 August 2000,United Kingdom/
301,Arch Capital Group Ltd.,jarran8c@admin.ch,Tools,$64061519.97,23 July 1999,UNITED KINGDOM
302,South State Corporation,,Outdoors,$21832651.07,27 January 1993,United Kingdom 
303,Monotype Imaging Holdings Inc.,,Shoes,$83036573.09,21 April 2013,South Africa/
