age,education.num,sex,hours.per.week,income
44,13,Male,40,Over 30k
49,16,Female,50,Over 30k
44,10,Male,60,30k or less
55,10,Male,62,Over 30k
45,9,Male,44,Over 30k
48,9,Female,40,Over 30k
31,13,Male,45,Over 30k
55,9,Female,40,Over 30k
70,10,Male,40,Over 30k
70,14,Male,8,Over 30k
73,13,Male,40,Over 30k
72,15,Male,28,Over 30k
31,9,Female,40,30k or less
28,6,Female,35,30k or less
23,13,Male,40,Over 30k
49,5,Male,40,Over 30k
27,10,Male,40,Over 30k
90,9,Male,40,30k or less
68,9,Female,30,30k or less
65,9,Female,59,30k or less
65,9,Female,10,30k or less
67,13,Female,5,30k or less
66,13,Female,25,30k or less
24,10,Male,24,30k or less
44,10,Male,35,30k or less
35,10,Female,40,30k or less
20,12,Female,18,30k or less
38,9,Male,40,30k or less
39,10,Female,40,30k or less
42,4,Male,40,30k or less
63,9,Female,40,30k or less
64,7,Male,40,30k or less
41,4,Male,40,30k or less
58,2,Male,18,30k or less
59,10,Male,40,30k or less
34,9,Female,12,30k or less
45,9,Male,45,30k or less
29,9,Female,40,30k or less
47,6,Male,52,30k or less
40,10,Male,40,30k or less
63,13,Male,45,30k or less
41,9,Male,40,30k or less
34,10,Male,40,30k or less
66,13,Male,40,Over 30k
65,10,Male,10,Over 30k
70,9,Male,40,Over 30k
75,15,Male,50,Over 30k
65,9,Male,40,Over 30k
65,10,Male,40,Over 30k
73,10,Male,50,Over 30k
68,11,Male,40,30k or less
74,9,Male,20,30k or less
19,7,Male,55,30k or less
37,9,Male,40,30k or less
30,9,Male,40,30k or less
51,10,Female,60,30k or less
35,7,Male,40,30k or less
29,9,Female,20,30k or less
34,10,Female,40,30k or less
41,9,Male,60,30k or less
35,10,Male,45,30k or less
26,10,Male,40,30k or less
54,9,Male,50,30k or less
52,9,Male,40,30k or less
50,9,Male,20,30k or less
31,10,Male,40,30k or less
38,9,Male,40,30k or less
30,10,Male,40,30k or less
34,13,Male,40,30k or less
31,10,Male,57,30k or less
52,9,Male,38,30k or less
54,9,Male,40,30k or less
38,9,Male,44,30k or less
39,9,Male,40,30k or less
29,11,Male,40,30k or less
45,9,Male,40,30k or less
34,9,Male,55,30k or less
39,6,Male,40,30k or less
61,9,Male,20,30k or less
43,7,Male,40,30k or less
35,10,Male,40,30k or less
46,10,Male,50,30k or less
38,9,Male,40,30k or less
42,9,Male,48,30k or less
34,12,Male,10,30k or less
29,4,Male,40,30k or less
32,7,Male,30,30k or less
60,9,Male,34,30k or less
49,9,Male,40,30k or less
53,9,Male,45,30k or less
56,4,Male,40,30k or less
48,7,Male,40,30k or less
42,9,Male,40,30k or less
32,12,Male,42,30k or less
26,11,Male,40,30k or less
59,13,Male,50,30k or less
47,13,Male,30,30k or less
26,13,Male,40,30k or less
41,9,Male,60,30k or less
36,9,Female,40,30k or less
45,13,Male,55,30k or less
30,12,Male,40,30k or less
36,9,Male,40,30k or less
34,9,Male,40,30k or less
53,9,Male,40,30k or less
51,9,Male,45,30k or less
47,16,Male,45,30k or less
19,9,Male,40,30k or less
30,9,Male,42,30k or less
20,9,Male,40,30k or less
42,14,Male,60,30k or less
31,7,Male,40,30k or less
33,13,Male,40,30k or less
25,12,Female,30,30k or less
20,9,Male,40,30k or less
23,9,Male,40,30k or less
55,9,Female,40,30k or less
41,10,Male,50,30k or less
54,9,Male,35,30k or less
25,9,Male,50,30k or less
19,10,Female,40,30k or less
24,9,Female,37,30k or less
56,13,Male,65,30k or less
21,10,Female,40,30k or less
34,9,Male,40,30k or less
19,9,Male,40,30k or less
21,10,Male,45,30k or less
48,9,Female,40,30k or less
34,13,Male,40,30k or less
31,9,Male,40,30k or less
36,9,Female,40,30k or less
27,9,Male,40,30k or less
35,13,Female,65,30k or less
31,13,Male,60,30k or less
27,9,Male,40,30k or less
28,12,Female,40,30k or less
42,9,Male,46,30k or less
41,13,Male,56,30k or less
28,13,Female,35,30k or less
41,9,Female,40,30k or less
35,6,Female,40,30k or less
58,14,Female,45,30k or less
40,9,Male,48,30k or less
31,11,Male,60,30k or less
30,9,Female,40,30k or less
32,10,Male,40,30k or less
25,10,Male,40,30k or less
34,9,Male,40,30k or less
56,10,Female,40,30k or less
45,9,Male,40,30k or less
50,9,Male,40,30k or less
27,6,Male,40,30k or less
51,10,Male,40,Over 30k
40,12,Male,60,Over 30k
41,14,Male,65,Over 30k
49,14,Male,45,Over 30k
37,11,Male,40,Over 30k
36,13,Female,45,Over 30k
35,15,Male,80,Over 30k
29,9,Female,25,Over 30k
50,13,Female,40,Over 30k
46,13,Male,40,Over 30k
44,9,Male,45,Over 30k
42,14,Male,40,Over 30k
38,15,Male,50,Over 30k
45,13,Male,55,Over 30k
43,14,Male,60,Over 30k
47,15,Male,60,Over 30k
58,15,Male,50,Over 30k
48,15,Male,40,Over 30k
42,13,Male,48,Over 30k
55,14,Male,50,Over 30k
51,6,Male,40,Over 30k
32,14,Male,40,Over 30k
45,13,Male,50,Over 30k
56,14,Male,44,Over 30k
38,14,Male,60,Over 30k
45,11,Male,50,Over 30k
49,14,Female,40,Over 30k
36,9,Male,40,Over 30k
49,14,Male,40,Over 30k
42,15,Male,50,Over 30k
55,14,Male,40,Over 30k
34,13,Male,45,Over 30k
54,16,Male,50,Over 30k
42,13,Male,70,Over 30k
25,13,Male,40,Over 30k
55,9,Male,45,Over 30k
58,14,Male,50,Over 30k
62,9,Male,60,Over 30k
43,15,Male,40,Over 30k
57,14,Female,40,Over 30k
42,16,Male,60,Over 30k
47,15,Male,50,Over 30k
37,13,Male,50,Over 30k
40,13,Male,60,Over 30k
43,13,Male,50,Over 30k
43,15,Male,70,Over 30k
41,15,Male,60,Over 30k
32,15,Male,60,Over 30k
47,13,Male,40,Over 30k
39,10,Male,60,Over 30k
53,10,Male,40,Over 30k
34,13,Male,45,Over 30k
36,13,Male,40,Over 30k
47,14,Male,41,Over 30k
52,11,Male,45,Over 30k
40,15,Male,60,Over 30k
42,13,Male,40,Over 30k
51,14,Male,40,Over 30k
55,14,Male,20,Over 30k
38,9,Male,99,Over 30k
52,10,Male,50,Over 30k
60,9,Male,40,Over 30k
47,14,Male,50,Over 30k
46,14,Male,40,Over 30k
35,14,Male,45,Over 30k
59,13,Male,50,Over 30k
57,14,Male,45,Over 30k
46,10,Male,50,Over 30k
46,14,Male,40,Over 30k
52,9,Male,40,Over 30k
45,16,Female,30,Over 30k
37,13,Male,40,Over 30k
46,14,Male,45,Over 30k
44,13,Male,50,Over 30k
45,11,Male,50,Over 30k
43,9,Male,52,Over 30k
54,14,Male,40,Over 30k
50,14,Male,40,Over 30k
45,13,Male,40,Over 30k
36,14,Male,60,Over 30k
27,13,Male,50,Over 30k
36,13,Male,35,Over 30k
53,14,Male,55,Over 30k
51,14,Male,35,Over 30k
28,13,Female,24,Over 30k
47,10,Male,40,Over 30k
45,13,Male,60,Over 30k
45,14,Female,35,Over 30k
39,15,Male,50,Over 30k
39,13,Male,40,Over 30k
55,14,Male,40,Over 30k
62,10,Male,98,Over 30k
53,14,Male,40,Over 30k
31,14,Male,48,Over 30k
60,13,Male,45,Over 30k
26,15,Male,40,Over 30k
37,14,Male,40,Over 30k
45,13,Male,60,Over 30k
37,12,Male,45,Over 30k
32,13,Male,45,Over 30k
39,9,Male,40,Over 30k
45,14,Male,43,Over 30k
41,13,Male,45,Over 30k
36,9,Male,65,Over 30k
51,14,Male,60,Over 30k
39,10,Male,62,Over 30k
56,15,Male,50,Over 30k
53,9,Male,40,Over 30k
40,11,Female,15,Over 30k
57,14,Male,40,Over 30k
50,9,Male,35,Over 30k
34,15,Male,55,Over 30k
35,13,Female,30,Over 30k
30,9,Male,15,Over 30k
53,14,Male,55,Over 30k
31,16,Male,70,Over 30k
37,13,Male,60,Over 30k
34,13,Male,50,Over 30k
36,14,Male,50,Over 30k
40,13,Male,50,Over 30k
51,10,Male,60,Over 30k
33,9,Male,45,Over 30k
40,16,Female,20,Over 30k
46,14,Male,60,Over 30k
54,16,Male,50,Over 30k
39,14,Female,24,Over 30k
54,10,Male,40,Over 30k
31,16,Male,99,Over 30k
51,14,Male,50,Over 30k
56,10,Female,50,Over 30k
38,13,Male,40,Over 30k
47,9,Male,45,Over 30k
39,14,Male,45,Over 30k
59,13,Male,50,Over 30k
54,16,Male,43,Over 30k
54,13,Female,35,Over 30k
31,13,Male,55,Over 30k
59,10,Male,48,Over 30k
46,14,Male,50,Over 30k
36,14,Female,44,Over 30k
44,13,Male,40,Over 30k
33,15,Male,50,Over 30k
54,10,Male,18,Over 30k
55,14,Male,60,Over 30k
36,14,Male,50,Over 30k
49,15,Female,60,Over 30k
41,15,Male,50,Over 30k
43,13,Male,50,Over 30k
39,14,Female,20,Over 30k
26,13,Female,40,Over 30k
48,15,Male,45,Over 30k
43,13,Male,50,Over 30k
36,13,Male,45,Over 30k
39,14,Male,40,30k or less
21,10,Male,40,30k or less
23,10,Female,40,30k or less
47,9,Female,40,30k or less
30,9,Female,40,30k or less
35,10,Male,40,30k or less
26,10,Female,40,30k or less
26,13,Male,55,30k or less
41,14,Male,40,30k or less
30,10,Male,40,30k or less
28,9,Male,40,30k or less
56,9,Female,40,30k or less
35,9,Male,40,30k or less
34,11,Female,40,30k or less
29,9,Male,35,30k or less
23,12,Female,20,30k or less
24,9,Female,40,30k or less
62,10,Male,40,30k or less
77,10,Female,1,30k or less
48,16,Male,60,Over 30k
42,15,Male,50,Over 30k
31,14,Male,40,Over 30k
50,16,Male,65,Over 30k
36,13,Male,50,Over 30k
49,14,Male,40,Over 30k
38,9,Male,40,Over 30k
48,16,Female,46,Over 30k
46,13,Male,40,Over 30k
56,9,Male,60,Over 30k
37,9,Male,45,Over 30k
51,9,Male,40,Over 30k
43,14,Male,40,Over 30k
46,9,Male,40,30k or less
42,14,Male,60,Over 30k
45,10,Female,35,Over 30k
23,10,Male,40,30k or less
45,13,Male,40,Over 30k
30,9,Male,40,30k or less
49,12,Female,40,Over 30k
42,13,Male,80,Over 30k
43,10,Female,40,Over 30k
43,10,Male,40,Over 30k
42,15,Male,60,Over 30k
53,13,Male,55,Over 30k
40,14,Male,48,Over 30k
41,13,Male,60,Over 30k
49,13,Male,40,Over 30k
34,14,Male,50,Over 30k
50,10,Female,38,Over 30k
54,9,Male,40,Over 30k
49,10,Male,50,Over 30k
44,14,Female,60,Over 30k
57,13,Male,40,Over 30k
28,14,Female,55,30k or less
57,10,Male,40,Over 30k
59,13,Male,43,Over 30k
38,12,Female,40,Over 30k
36,9,Male,60,Over 30k
55,10,Male,40,Over 30k
34,9,Male,60,Over 30k
51,10,Male,50,Over 30k
46,9,Male,70,Over 30k
31,13,Female,35,Over 30k
31,13,Female,35,Over 30k
59,9,Male,52,Over 30k
48,12,Male,40,Over 30k
33,13,Male,45,Over 30k
46,10,Male,50,Over 30k
53,13,Male,40,Over 30k
39,14,Female,18,Over 30k
44,9,Male,40,Over 30k
45,14,Male,50,Over 30k
42,13,Male,40,Over 30k
24,4,Male,40,Over 30k
57,13,Male,40,Over 30k
51,13,Male,40,Over 30k
50,13,Male,40,Over 30k
44,10,Male,40,Over 30k
47,13,Male,45,Over 30k
36,13,Male,45,Over 30k
34,10,Male,38,Over 30k
49,13,Male,50,Over 30k
45,13,Male,45,Over 30k
46,13,Male,50,Over 30k
53,13,Male,48,Over 30k
63,16,Male,50,Over 30k
52,13,Male,40,Over 30k
44,13,Male,40,Over 30k
37,13,Male,40,Over 30k
44,16,Male,40,Over 30k
53,13,Male,40,Over 30k
32,13,Male,40,Over 30k
50,16,Male,45,Over 30k
50,12,Male,40,Over 30k
33,13,Male,55,Over 30k
50,14,Female,40,Over 30k
32,13,Female,32,Over 30k
41,9,Male,40,Over 30k
54,9,Male,55,Over 30k
34,12,Male,50,Over 30k
41,13,Male,55,Over 30k
39,15,Male,50,Over 30k
42,14,Male,40,Over 30k
31,13,Male,45,Over 30k
45,11,Male,42,Over 30k
41,13,Male,42,Over 30k
48,14,Female,38,Over 30k
32,9,Male,55,Over 30k
41,10,Male,40,Over 30k
31,13,Female,40,Over 30k
41,10,Female,40,Over 30k
48,14,Male,40,Over 30k
60,16,Male,40,Over 30k
38,13,Male,65,Over 30k
46,3,Male,40,30k or less
28,10,Male,55,Over 30k
64,16,Male,60,Over 30k
31,13,Female,20,Over 30k
42,14,Male,50,Over 30k
43,11,Female,32,Over 30k
61,10,Male,35,Over 30k
46,14,Male,45,Over 30k
44,13,Male,50,Over 30k
39,10,Male,50,Over 30k
46,13,Male,40,Over 30k
48,16,Male,50,Over 30k
27,7,Male,40,Over 30k
22,10,Male,37,30k or less
51,13,Male,40,30k or less
48,10,Male,40,Over 30k
52,11,Male,40,Over 30k
31,9,Male,40,Over 30k
53,13,Male,40,Over 30k
51,14,Male,60,Over 30k
46,16,Female,52,Over 30k
25,10,Male,36,Over 30k
46,9,Male,40,Over 30k
57,9,Male,30,Over 30k
44,13,Male,50,Over 30k
42,9,Male,50,Over 30k
42,14,Male,40,Over 30k
30,13,Male,55,Over 30k
54,16,Male,50,Over 30k
46,15,Male,45,Over 30k
33,13,Male,50,Over 30k
38,10,Male,50,Over 30k
50,14,Male,45,Over 30k
46,7,Male,40,Over 30k
41,14,Female,35,Over 30k
56,13,Male,65,Over 30k
39,13,Male,50,Over 30k
46,16,Male,50,Over 30k
48,4,Male,40,30k or less
56,10,Male,60,Over 30k
49,9,Male,60,Over 30k
61,15,Male,40,Over 30k
43,9,Male,40,Over 30k
37,9,Male,50,30k or less
43,13,Male,40,Over 30k
41,9,Male,40,Over 30k
61,9,Male,40,Over 30k
30,13,Male,40,Over 30k
58,10,Male,40,Over 30k
40,9,Male,40,Over 30k
44,14,Male,40,Over 30k
40,13,Male,32,Over 30k
58,9,Male,40,30k or less
48,9,Male,40,Over 30k
49,9,Male,40,30k or less
50,13,Male,50,Over 30k
43,13,Male,55,Over 30k
53,9,Male,40,Over 30k
42,16,Male,50,Over 30k
56,9,Male,40,Over 30k
44,13,Male,56,Over 30k
29,13,Female,50,Over 30k
35,9,Male,40,Over 30k
44,9,Male,40,Over 30k
34,13,Male,48,Over 30k
43,13,Male,40,Over 30k
57,11,Male,45,30k or less
50,13,Male,60,Over 30k
32,13,Male,60,Over 30k
33,13,Male,45,Over 30k
43,10,Male,15,Over 30k
32,9,Male,50,Over 30k
36,9,Male,48,Over 30k
50,9,Male,60,Over 30k
27,9,Male,45,30k or less
60,15,Male,40,Over 30k
53,14,Male,50,Over 30k
61,16,Male,40,Over 30k
32,13,Male,40,Over 30k
37,9,Male,55,Over 30k
33,9,Female,40,Over 30k
57,16,Male,40,Over 30k
43,9,Male,99,Over 30k
50,9,Male,40,Over 30k
43,10,Male,40,Over 30k
45,9,Male,40,Over 30k
37,9,Male,45,Over 30k
31,14,Male,43,Over 30k
33,12,Male,50,Over 30k
56,9,Male,50,Over 30k
43,10,Female,50,Over 30k
28,10,Female,40,Over 30k
52,6,Male,47,Over 30k
38,13,Male,40,Over 30k
57,9,Male,40,Over 30k
41,10,Male,50,Over 30k
37,9,Male,50,Over 30k
42,9,Male,40,Over 30k
44,14,Male,35,Over 30k
39,13,Male,50,Over 30k
51,10,Male,65,Over 30k
38,13,Male,50,Over 30k
43,10,Male,40,Over 30k
33,12,Male,60,Over 30k
43,13,Male,40,Over 30k
35,13,Male,45,Over 30k
41,10,Male,50,Over 30k
45,10,Male,40,Over 30k
59,9,Male,40,Over 30k
30,14,Male,45,Over 30k
32,13,Male,45,Over 30k
39,13,Male,60,Over 30k
43,13,Female,70,Over 30k
32,13,Male,55,Over 30k
39,9,Male,40,Over 30k
37,13,Male,40,Over 30k
34,10,Female,40,Over 30k
46,10,Male,45,Over 30k
51,16,Male,40,Over 30k
29,9,Male,55,Over 30k
34,13,Female,40,Over 30k
50,10,Male,35,Over 30k
34,10,Male,40,Over 30k
58,6,Male,40,Over 30k
56,3,Male,67,Over 30k
34,13,Male,48,Over 30k
36,13,Male,40,Over 30k
46,9,Male,40,Over 30k
50,9,Male,40,Over 30k
27,13,Male,45,Over 30k
44,9,Male,70,Over 30k
39,9,Male,46,Over 30k
33,9,Female,20,Over 30k
59,9,Male,40,Over 30k
59,10,Male,55,Over 30k
51,10,Male,40,Over 30k
37,11,Male,40,Over 30k
25,11,Female,40,Over 30k
54,9,Male,65,Over 30k
47,10,Male,40,Over 30k
40,13,Male,40,Over 30k
27,13,Male,60,Over 30k
31,13,Male,40,Over 30k
41,9,Male,55,Over 30k
41,9,Male,45,Over 30k
50,9,Male,55,Over 30k
36,10,Male,40,Over 30k
27,9,Female,40,Over 30k
46,10,Male,40,Over 30k
61,9,Male,40,Over 30k
39,13,Male,40,Over 30k
47,9,Male,45,Over 30k
45,9,Male,40,Over 30k
55,9,Female,40,Over 30k
38,7,Male,45,Over 30k
57,13,Male,55,Over 30k
38,6,Male,40,Over 30k
28,13,Male,40,Over 30k
40,10,Male,40,Over 30k
36,13,Male,50,Over 30k
36,9,Male,60,Over 30k
30,9,Male,50,Over 30k
35,9,Female,42,Over 30k
32,9,Male,60,Over 30k
55,9,Male,40,Over 30k
29,9,Male,30,Over 30k
37,12,Male,40,Over 30k
36,11,Male,50,Over 30k
42,14,Female,48,Over 30k
40,16,Male,50,Over 30k
26,14,Male,40,Over 30k
44,14,Male,60,Over 30k
47,13,Male,40,Over 30k
35,14,Male,40,Over 30k
58,10,Male,40,Over 30k
41,9,Male,55,Over 30k
41,9,Male,40,Over 30k
38,16,Male,50,Over 30k
47,13,Male,40,Over 30k
39,9,Male,40,Over 30k
42,10,Male,50,Over 30k
42,13,Male,40,Over 30k
37,11,Female,35,Over 30k
41,13,Male,40,Over 30k
51,9,Male,40,Over 30k
50,13,Male,50,Over 30k
43,6,Male,40,Over 30k
28,12,Male,70,Over 30k
35,12,Male,45,Over 30k
59,9,Male,40,Over 30k
28,13,Male,40,Over 30k
42,15,Male,40,Over 30k
51,14,Male,47,Over 30k
54,14,Male,44,Over 30k
45,9,Male,40,Over 30k
38,13,Female,40,Over 30k
46,14,Male,40,Over 30k
33,10,Male,40,Over 30k
36,13,Male,40,Over 30k
36,16,Male,50,Over 30k
61,10,Male,40,Over 30k
30,9,Male,48,Over 30k
50,11,Female,36,Over 30k
58,11,Male,48,Over 30k
43,13,Male,40,Over 30k
40,10,Male,68,Over 30k
55,9,Male,40,Over 30k
52,13,Male,40,Over 30k
44,10,Male,55,Over 30k
39,15,Male,50,Over 30k
45,13,Male,60,Over 30k
42,13,Male,40,Over 30k
29,10,Male,50,Over 30k
46,10,Male,40,Over 30k
55,13,Male,40,Over 30k
33,15,Male,40,Over 30k
44,10,Male,60,Over 30k
37,13,Male,47,Over 30k
64,12,Male,50,Over 30k
43,14,Male,45,Over 30k
36,13,Male,35,Over 30k
55,13,Male,40,Over 30k
34,9,Male,45,Over 30k
29,11,Male,48,Over 30k
41,12,Male,40,Over 30k
61,11,Male,60,Over 30k
49,10,Male,40,Over 30k
52,9,Male,60,Over 30k
46,12,Male,50,Over 30k
36,10,Male,40,Over 30k
43,9,Male,40,Over 30k
35,14,Male,40,Over 30k
39,9,Male,40,Over 30k
39,13,Male,40,Over 30k
47,14,Male,50,Over 30k
53,10,Male,40,Over 30k
53,10,Male,45,Over 30k
26,14,Female,40,30k or less
52,9,Male,50,30k or less
61,3,Male,56,30k or less
28,9,Male,40,30k or less
42,14,Female,40,30k or less
44,14,Male,42,30k or less
51,9,Male,40,30k or less
39,9,Male,40,30k or less
36,13,Male,44,30k or less
45,10,Male,50,30k or less
27,13,Male,40,30k or less
40,14,Female,35,30k or less
25,13,Female,40,30k or less
47,9,Male,40,30k or less
32,13,Male,50,30k or less
53,9,Female,38,30k or less
32,10,Male,60,30k or less
49,9,Male,40,30k or less
27,11,Female,36,30k or less
26,13,Male,38,30k or less
60,9,Male,50,30k or less
56,14,Male,60,30k or less
58,12,Male,40,30k or less
39,13,Male,50,30k or less
53,14,Female,38,30k or less
46,14,Female,60,30k or less
30,9,Male,45,30k or less
38,9,Male,40,30k or less
41,13,Female,40,30k or less
27,9,Male,75,30k or less
43,13,Male,40,30k or less
30,13,Male,40,30k or less
25,13,Female,40,30k or less
26,13,Male,38,30k or less
53,13,Female,54,30k or less
39,7,Male,46,30k or less
47,10,Female,40,30k or less
44,10,Male,55,30k or less
61,9,Male,60,Over 30k
44,12,Male,40,Over 30k
28,9,Male,42,Over 30k
39,13,Male,40,Over 30k
41,11,Male,48,Over 30k
35,13,Male,70,Over 30k
34,9,Male,50,Over 30k
30,12,Male,50,Over 30k
30,9,Male,50,Over 30k
33,13,Male,45,Over 30k
60,9,Male,40,Over 30k
31,9,Male,40,Over 30k
50,9,Male,40,Over 30k
27,9,Male,45,Over 30k
37,9,Male,65,Over 30k
30,9,Male,40,Over 30k
49,10,Male,44,Over 30k
52,14,Female,40,Over 30k
37,9,Male,48,Over 30k
39,14,Male,50,Over 30k
38,13,Male,54,Over 30k
44,13,Male,40,Over 30k
45,10,Male,40,Over 30k
54,9,Male,40,Over 30k
58,12,Male,40,Over 30k
36,13,Male,55,Over 30k
45,5,Male,40,Over 30k
46,11,Male,40,Over 30k
41,9,Male,45,Over 30k
41,14,Male,40,Over 30k
34,9,Male,50,Over 30k
33,16,Male,40,Over 30k
63,13,Male,40,Over 30k
56,10,Male,50,Over 30k
48,9,Female,40,Over 30k
40,12,Male,55,Over 30k
59,10,Male,45,Over 30k
32,13,Male,50,Over 30k
41,9,Male,40,Over 30k
30,10,Male,40,Over 30k
34,14,Male,40,Over 30k
41,10,Male,65,Over 30k
46,13,Male,45,Over 30k
39,14,Male,45,Over 30k
26,9,Male,60,Over 30k
27,13,Male,55,Over 30k
61,13,Male,40,Over 30k
37,13,Female,40,Over 30k
67,10,Male,70,30k or less
66,10,Male,40,Over 30k
66,9,Male,10,Over 30k
74,13,Male,12,Over 30k
66,9,Male,40,Over 30k
71,10,Male,2,30k or less
80,10,Male,60,30k or less
24,9,Female,40,30k or less
28,10,Male,40,30k or less
59,9,Female,30,30k or less
24,9,Female,32,30k or less
24,10,Male,40,30k or less
52,9,Female,40,30k or less
39,13,Male,40,30k or less
43,9,Female,35,30k or less
22,6,Female,25,30k or less
30,12,Female,40,30k or less
24,9,Female,40,30k or less
21,10,Female,28,30k or less
49,14,Male,45,Over 30k
52,13,Female,40,Over 30k
38,10,Male,40,30k or less
30,13,Male,48,30k or less
25,8,Male,40,30k or less
34,13,Female,45,30k or less
24,13,Male,45,30k or less
25,13,Male,40,30k or less
31,13,Male,38,30k or less
39,13,Male,40,30k or less
35,9,Male,60,30k or less
31,6,Male,40,30k or less
30,9,Male,42,30k or less
42,14,Female,35,30k or less
42,10,Female,50,30k or less
41,13,Female,40,30k or less
46,9,Male,40,30k or less
34,13,Male,40,30k or less
33,9,Male,40,30k or less
36,13,Male,40,30k or less
36,13,Female,40,30k or less
44,12,Female,40,30k or less
28,9,Female,52,30k or less
52,9,Female,38,30k or less
43,13,Male,40,30k or less
45,9,Female,40,30k or less
